month,type,rate
May-18,All,11.60783771
May-18,Food,13.44781134
May-18,Core,11.59716397
Jun-18,All,11.23080676
Jun-18,Food,12.97650393
Jun-18,Core,11.19444859
Jul-18,All,11.14183148
Jul-18,Food,12.84998487
Jul-18,Core,10.8077483
Aug-18,All,11.22743567
Aug-18,Food,13.15833349
Aug-18,Core,10.62033796
Sep-18,All,11.28422082
Sep-18,Food,13.30892388
Sep-18,Core,10.47638403
Oct-18,All,11.2593067
Oct-18,Food,13.27745079
Oct-18,Core,10.49456418
Nov-18,All,11.28068743
Nov-18,Food,13.30132535
Nov-18,Core,10.43839826
Dec-18,All,11.44179324
Dec-18,Food,13.55870254
Dec-18,Core,10.42774689
Jan-19,All,11.37408333
Jan-19,Food,13.5052366
Jan-19,Core,10.62240311
Feb-19,All,11.30585291
Feb-19,Food,13.47319606
Feb-19,Core,10.53116615
Mar-19,All,11.25114957
Mar-19,Food,13.4510474
Mar-19,Core,10.23765996
Apr-19,All,11.37206804
Apr-19,Food,13.70148468
Apr-19,Core,9.942226438
May-19,All,11.39640477
May-19,Food,13.79414532
May-19,Core,9.638410273
Jun-19,All,11.2173159
Jun-19,Food,13.55849053
Jun-19,Core,9.352062769
Jul-19,All,11.08445702
Jul-19,Food,13.39152212
Jul-19,Core,9.419592417
Aug-19,All,11.01590941
Aug-19,Food,13.17048204
Aug-19,Core,9.22414203
Sep-19,All,11.24375478
Sep-19,Food,13.50688742
Sep-19,Core,9.431630972
Oct-19,All,11.6069814
Oct-19,Food,14.08787215
Oct-19,Core,9.448704605
Nov-19,All,11.85351776
Nov-19,Food,14.48199159
Nov-19,Core,9.48461133
Dec-19,All,11.98156929
Dec-19,Food,14.66676058
Dec-19,Core,9.947136919
Jan-20,All,12.13230577
Jan-20,Food,14.84934904
Jan-20,Core,9.808076769
Feb-20,All,12.19853348
Feb-20,Food,14.9044201
Feb-20,Core,9.950762389
Mar-20,All,12.2573248
Mar-20,Food,14.97665003
Mar-20,Core,10.21874753
Apr-20,All,12.34146493
Apr-20,Food,15.02643771
Apr-20,Core,10.56862745
May-20,All,12.40424879
May-20,Food,15.03557372
May-20,Core,10.6974754
Jun-20,All,12.55871969
Jun-20,Food,15.17536397
Jun-20,Core,10.75492806
Jul-20,All,12.82071751
Jul-20,Food,15.48176778
Jul-20,Core,10.63561267
Aug-20,All,13.21951352
Aug-20,Food,15.99631279
Aug-20,Core,11.06807913
Sep-20,All,13.70662921
Sep-20,Food,16.66030221
Sep-20,Core,11.16296575
Oct-20,All,14.23274274
Oct-20,Food,17.37835159
Oct-20,Core,11.70959313
Nov-20,All,14.88726067
Nov-20,Food,18.29820464
Nov-20,Core,11.5962963
Dec-20,All,15.75338665
Dec-20,Food,19.56246603
Dec-20,Core,11.8329296
Jan-21,All,16.46634728
Jan-21,Food,20.56661227
Jan-21,Core,12.4968139
Feb-21,All,17.33489631
Feb-21,Food,21.78577202
Feb-21,Core,12.97580354
Mar-21,All,18.17136774
Mar-21,Food,22.94795178
Mar-21,Core,13.22275561
Apr-21,All,18.11673535
Apr-21,Food,22.71861306
Apr-21,Core,13.30377727
May-21,All,17.93308194
May-21,Food,22.27732501
May-21,Core,13.76462733
Jun-21,All,17.75075726
Jun-21,Food,21.82875459
Jun-21,Core,13.6811675
Jul-21,All,17.37710035
Jul-21,Food,21.03175533
Jul-21,Core,14.45262539
Aug-21,All,17.00912657
Aug-21,Food,20.30282619
Aug-21,Core,13.97511281
Sep-21,All,16.62986719
Sep-21,Food,19.56610923
Sep-21,Core,14.36213434
Oct-21,All,15.99357982
Oct-21,Food,18.33772157
Oct-21,Core,13.78353995
Nov-21,All,15.395702
Nov-21,Food,17.20850008
Nov-21,Core,14.40708904
Dec-21,All,15.62548885
Dec-21,Food,17.37032579
Dec-21,Core,14.34853955
Jan-22,All,15.60054454
Jan-22,Food,17.12598564
Jan-22,Core,14.16333105
Feb-22,All,15.70244575
Feb-22,Food,17.11012465
Feb-22,Core,14.27601552
Mar-22,All,15.91515318
Mar-22,Food,17.20314732
Mar-22,Core,14.05218911
Apr-22,All,16.81881234
Apr-22,Food,18.37092235
Apr-22,Core,14.14379713
May-22,All,17.71179932
May-22,Food,19.49607255
May-22,Core,14.83996
Jun-22,All,18.5956158
Jun-22,Food,20.60296881
Jun-22,Core,15.70348481
Jul-22,All,19.64302021
Jul-22,Food,22.01681552
Jul-22,Core,16.06384633
Aug-22,All,20.52484199
Aug-22,Food,23.12082496
Aug-22,Core,17.11516031
Sep-22,All,20.77368821
Sep-22,Food,23.3360238
Sep-22,Core,17.49384447
Oct-22,All,21.08711512
Oct-22,Food,23.72349407
Oct-22,Core,17.45976341
Nov-22,All,21.46563897
Nov-22,Food,24.12545086
Nov-22,Core,17.99365415
Dec-22,All,21.34379452
Dec-22,Food,23.75371557
Dec-22,Core,18.21111973
Jan-23,All,21.81632493
Jan-23,Food,24.31569375
Jan-23,Core,18.87856303
Feb-23,All,21.9097335
Feb-23,Food,24.3524755
Feb-23,Core,18.36510877
Mar-23,All,22.04327432
Mar-23,Food,24.45103641
Mar-23,Core,19.63499914
Apr-23,All,22.22224653
Apr-23,Food,24.61147296
Apr-23,Core,19.96317816
May-23,All,22.4134096
May-23,Food,24.8247179
May-23,Core,19.83326463
Jun-23,All,22.789489
Jun-23,Food,25.25108304
Jun-23,Core,20.05974754
Jul-23,All,24.07955475
Jul-23,Food,26.98261807
Jul-23,Core,20.47370584
Aug-23,All,25.79784037
Aug-23,Food,29.33753073
Aug-23,Core,21.14826966
Sep-23,All,26.71583183
Sep-23,Food,30.63743478
Sep-23,Core,21.8415141
Oct-23,All,27.3297217
Oct-23,Food,31.52221706
Oct-23,Core,22.57582235
Nov-23,All,28.20017439
Nov-23,Food,32.84485916
Nov-23,Core,22.38388095
Dec-23,All,28.9217898
Dec-23,Food,33.93346288
Dec-23,Core,23.06183616
Jan-24,All,29.89905874
Jan-24,Food,35.41327723
Jan-24,Core,23.59176682
Feb-24,All,31.69823246
Feb-24,Food,37.91994663
Feb-24,Core,25.12689756
Mar-24,All,33.20143267
Mar-24,Food,40.01456669
Mar-24,Core,25.89548388
Apr-24,All,33.69466532
Apr-24,Food,40.53012092
Apr-24,Core,26.83663623
May-24,All,33.95301436
May-24,Food,40.66147624
May-24,Core,27.04141743
Jun-24,All,34.19167154
Jun-24,Food,40.87104638
Jun-24,Core,27.40260881
Jul-24,All,33.39525189
Jul-24,Food,39.53424978
Jul-24,Core,27.4650233
Aug-24,All,32.1501323
Aug-24,Food,37.52265471
Aug-24,Core,27.58298814
Sep-24,All,32.69627577
Sep-24,Food,37.77134201
Sep-24,Core,27.42810633
Oct-24,All,33.88
Oct-24,Food,39.16
Oct-24,Core,28.37
