month,egg_crate,egg,beans_brown,beans_white,bone_beef,boneless_beef,bread_sliced,bread_unsliced,rice_ofada,catfish_fresh,catfish_dried,catfish_smoked,chicken_feet,chicken_wings,dried_fish_sardine,tin_milk,tin_milk_peak,frozen_chicken,garri_white,garri_yellow,groundnut_oil,iced_sardine,irish_potato,mackerel_frozen,maize_white,maize_yellow,mudfish_aro,mudfish_dried,onion,palm_oil,plantain_ripe,plantain_unripe,rice_agric,rice_local,rice_medium_grained,rice_imported,sweet_potato,tilapia_fish,titus_frozen,Tomato,vegetable_oil,wheat_flour,yam_tuber
19-Jan,469.86,42.18,382.76,336.72,994.20,1273.99,300.61,272.97,382.15,1073.51,1814.67,1509.19,749.53,961.89,1342.79,164.39,190.68,1614.19,165.80,191.78,588.60,906.02,290.55,933.94,158.63,159.91,1054.49,1856.34,257.99,477.09,229.51,217.37,322.45,281.49,317.63,366.04,139.65,910.91,935.02,265.49,516.72,665.12,211.21
19-Feb,464.27,42.23,373.91,338.05,980.54,1254.99,299.11,271.74,385.81,1066.39,1799.35,1517.84,731.91,932.32,1380.38,161.60,190.92,1632.71,166.61,191.06,585.69,911.33,284.31,931.39,155.59,158.29,1014.20,1824.01,244.30,462.27,225.98,218.36,316.08,281.25,314.53,364.39,137.46,876.13,945.71,256.51,509.14,664.78,206.49
19-Mar,459.81,41.92,368.07,330.76,980.12,1253.48,299.98,273.14,382.45,1065.14,1791.90,1517.26,727.61,927.20,1381.40,161.98,188.23,1910.70,163.51,184.18,580.55,908.81,278.92,935.30,147.83,151.26,1015.53,1825.51,231.91,460.32,223.13,212.53,314.88,280.80,313.55,361.90,134.72,876.36,945.66,240.30,506.65,663.90,200.88
19-Apr,467.18,41.95,372.84,329.45,1025.26,1271.10,297.87,271.49,381.13,1082.01,1763.61,1548.23,746.28,947.99,1414.37,161.68,188.18,1681.11,163.37,182.59,578.52,941.44,289.67,958.05,151.70,155.90,1037.90,1826.70,232.30,461.05,228.34,220.91,319.59,282.78,316.30,357.55,141.61,894.12,974.94,257.25,501.09,668.76,222.36
19-May,464.87,42.82,365.32,329.66,1023.39,1268.95,297.28,272.09,377.77,1063.03,1766.55,1552.13,727.73,934.05,1414.49,163.37,189.51,1701.62,161.55,180.75,573.40,925.31,288.86,942.42,149.60,154.37,1026.85,1826.77,228.26,456.41,226.34,217.15,321.56,278.26,316.94,361.39,140.83,884.47,949.22,249.52,496.64,668.37,216.03
19-Jun,495.33,39.31,342.82,311.40,1003.20,1240.44,292.73,274.49,373.49,1024.68,1727.36,1528.98,693.61,905.44,1394.73,156.95,188.90,1752.97,145.31,156.02,558.30,899.83,274.10,926.08,140.41,143.25,991.45,1786.80,208.87,461.52,220.44,207.37,318.26,271.10,308.07,352.83,135.20,845.73,940.57,226.07,495.41,674.83,182.15
19-Jul,468.31,38.38,327.18,289.78,1009.69,1246.78,293.49,271.02,367.44,994.21,1700.51,1504.20,663.03,877.13,1373.11,157.14,188.59,1783.38,151.73,154.05,545.13,887.69,250.34,911.43,135.76,140.09,971.74,1763.72,193.56,447.40,217.22,203.44,314.56,277.38,305.93,356.10,137.48,812.22,927.61,203.55,485.05,667.97,170.85
19-Aug,461.89,40.57,307.27,273.71,1007.39,1244.23,301.36,275.40,366.22,1008.32,1712.11,1515.95,685.16,891.87,1379.51,156.98,186.61,1770.45,154.10,167.34,557.44,907.70,271.48,914.58,138.26,142.00,979.84,1768.23,206.04,454.62,225.04,210.27,310.03,272.77,309.27,356.61,137.61,833.59,949.05,223.86,491.41,663.26,190.04
19-Sep,456.81,41.30,318.99,285.74,1021.84,1257.58,302.59,275.89,370.30,1002.53,1709.80,1499.70,670.87,874.72,1381.57,159.61,186.15,1901.64,154.55,172.23,557.51,913.41,268.57,921.47,141.75,142.19,978.23,1762.50,203.54,457.49,220.42,204.02,322.10,290.16,326.40,371.13,142.00,813.43,952.31,227.50,486.90,664.02,190.23
19-Oct,462.46,40.51,308.93,292.00,1025.69,1281.59,296.56,278.66,371.89,1004.38,1697.55,1494.81,659.60,880.90,1397.91,159.51,187.44,1993.98,162.42,175.57,562.59,925.05,264.29,938.02,142.25,138.74,979.20,1741.27,202.88,464.70,208.69,200.11,340.27,303.69,339.78,382.57,138.46,815.55,956.75,233.38,502.34,675.30,179.75
19-Nov,463.91,41.18,307.30,284.65,1026.24,1293.00,299.59,280.51,396.86,1027.76,1723.23,1501.28,686.71,893.00,1423.23,157.21,183.56,2008.39,160.06,181.32,580.03,956.79,289.23,951.67,149.63,151.65,1002.74,1756.42,226.06,466.93,218.01,203.49,384.04,344.01,378.50,445.45,146.58,859.55,975.39,251.21,512.53,673.48,203.20
19-Dec,457.80,40.72,299.48,281.60,1045.86,1292.52,304.06,277.79,406.94,1043.41,1732.45,1507.39,699.06,915.62,1444.94,157.89,184.80,1995.58,159.39,183.26,580.45,969.60,304.46,953.29,151.88,153.00,1010.99,1774.96,240.55,469.43,213.04,204.30,390.18,345.94,381.68,459.90,147.46,884.07,981.21,263.90,516.29,676.20,206.82
20-Jan,454.17,40.17,285.61,268.80,1031.53,1289.80,302.45,276.26,409.31,1025.13,1720.55,1502.48,685.98,909.31,1454.59,157.11,185.63,1983.14,159.64,182.19,571.88,964.40,281.09,946.05,148.86,149.62,1000.41,1758.76,225.83,457.59,206.17,197.06,382.21,338.58,381.42,453.24,141.23,870.06,962.96,237.22,515.48,672.79,193.04
20-Feb,448.26,39.29,276.30,255.25,1035.38,1279.60,303.06,275.20,404.32,1022.84,1713.30,1496.07,684.50,922.52,1440.71,150.54,183.81,1948.59,159.33,186.35,572.36,961.21,286.21,932.21,150.15,151.53,992.95,1764.13,231.60,457.31,207.82,201.83,377.69,334.11,373.16,444.04,141.34,863.29,948.14,241.78,520.95,668.01,189.53
20-Mar,461.15,39.90,267.81,241.74,1025.48,1276.10,304.60,278.79,390.54,1027.30,1711.32,1501.97,691.70,920.52,1432.95,153.37,183.12,1941.04,164.60,192.41,583.22,960.69,301.24,928.27,150.78,150.97,991.44,1742.72,236.36,451.37,220.91,218.05,369.89,313.10,368.36,438.66,149.46,854.86,960.47,255.33,530.85,674.14,206.12
20-Apr,476.72,41.54,277.05,250.33,1047.12,1307.68,316.55,288.45,408.05,1048.90,1724.52,1524.80,711.61,935.60,1447.58,160.98,190.17,1958.10,190.23,211.83,601.03,987.10,309.85,953.14,165.83,166.42,1004.18,1762.88,227.59,464.08,236.49,230.20,393.34,342.49,394.56,471.84,153.89,870.49,986.88,277.00,551.92,692.60,230.09
20-May,462.46,40.84,277.49,251.43,1053.47,1306.47,315.00,285.17,405.58,1044.13,1709.24,1523.47,701.66,929.24,1445.67,161.16,190.00,1944.56,196.16,222.25,601.14,994.47,304.60,959.22,167.88,169.75,997.39,1751.08,221.40,463.50,226.36,218.81,389.77,344.91,392.54,463.21,154.62,860.95,1004.66,278.23,554.77,698.45,236.90
20-Jun,472.83,42.18,289.89,259.39,1069.85,1317.04,320.10,284.51,420.31,1058.90,1722.18,1529.88,712.19,948.24,1455.32,162.85,191.71,1950.47,214.73,241.58,620.31,1008.23,324.81,976.99,178.26,181.90,1005.84,1744.34,233.24,473.75,245.86,238.58,394.57,347.54,400.73,479.74,171.94,872.94,1018.79,294.46,568.50,707.31,250.70
20-Jul,474.12,42.45,300.26,268.38,1075.68,1330.83,318.56,287.74,426.36,1061.25,1677.22,1536.03,715.89,953.89,1466.13,163.74,193.03,1955.54,222.47,255.10,623.09,1005.46,328.07,989.44,190.00,191.64,1009.02,1743.76,238.65,486.25,245.04,237.18,405.97,362.97,410.69,490.44,177.17,872.74,1021.08,304.01,576.89,712.95,256.44
20-Aug,478.97,42.78,305.43,274.80,1064.27,1339.74,312.74,283.97,429.81,1056.58,1711.18,1526.12,724.19,940.13,1466.66,162.23,194.11,1948.12,224.53,253.02,626.69,1005.58,320.45,997.01,189.53,192.43,1002.45,1742.48,241.97,499.67,242.78,233.50,413.13,375.08,415.43,501.71,173.11,855.50,1022.70,289.86,583.76,718.39,256.06
20-Sep,480.76,42.90,312.66,284.87,1070.44,1351.66,318.11,291.04,442.77,1053.62,1718.53,1529.47,715.44,962.13,1477.56,163.80,195.58,1931.95,235.77,263.57,633.39,1022.67,309.10,1004.58,196.98,201.33,1006.22,1751.89,244.75,505.32,244.37,236.28,425.79,390.68,423.04,516.13,165.30,858.54,1032.75,286.92,589.28,730.23,245.62
20-Oct,487.81,43.72,326.88,300.37,1083.35,1380.14,322.61,298.73,452.21,1063.50,1728.81,1535.50,720.50,972.26,1479.87,164.35,195.03,1932.96,244.96,275.01,646.04,1028.48,318.96,1015.06,202.24,204.73,1016.97,1760.90,270.60,515.26,240.64,225.83,434.41,400.47,434.96,530.32,163.51,869.77,1051.36,307.63,602.96,740.89,242.87
20-Nov,494.72,44.75,334.66,308.36,1081.17,1393.77,328.52,307.01,462.55,1066.15,1725.47,1537.30,729.14,978.41,1479.84,166.06,197.45,1936.97,241.25,268.05,656.76,1014.92,319.48,1028.03,204.95,204.38,1021.72,1750.96,379.39,542.85,238.94,216.19,450.09,404.61,444.94,549.98,160.89,869.15,1052.31,316.16,630.86,749.99,236.25
20-Dec,499.55,45.40,336.24,309.07,1083.14,1405.72,327.17,304.51,467.64,1068.19,1728.47,1534.92,729.50,977.67,1482.61,167.48,196.70,1939.17,238.65,263.27,664.78,1011.83,320.01,1030.59,205.63,207.51,1025.40,1749.89,372.25,552.22,233.84,213.48,448.71,405.64,443.03,550.94,154.98,868.87,1057.97,310.10,639.88,749.80,233.48
21-Jan,510.84,46.21,337.09,316.92,1091.82,1421.14,327.96,306.74,465.64,1069.52,1726.21,1536.50,729.71,967.46,1479.84,169.61,197.39,1927.54,243.76,265.55,672.42,1021.00,325.13,1031.11,210.74,214.68,1023.35,1758.18,356.29,564.31,230.32,212.35,448.70,401.41,442.17,551.57,148.32,868.65,1066.88,289.66,654.79,757.97,234.67
21-Feb,518.30,47.35,351.68,331.48,1113.39,1435.87,326.61,308.07,462.42,1073.34,1728.66,1532.05,754.58,979.29,1512.67,172.35,195.20,1919.18,259.59,282.79,676.87,1042.66,319.25,1030.64,222.86,229.76,1038.13,1753.09,297.83,585.01,237.04,221.08,442.09,391.01,444.17,537.37,145.86,891.21,1062.07,269.18,667.43,758.55,242.82
21-Mar,524.47,48.43,368.98,346.38,1130.80,1456.03,332.30,310.19,466.30,1084.84,1723.52,1532.21,765.80,992.30,1513.44,172.92,197.51,1926.86,274.03,293.97,667.67,1047.03,316.05,1034.27,233.92,237.60,1043.24,1755.92,285.23,578.17,243.13,228.18,443.23,393.92,443.36,544.21,152.53,911.83,1069.28,267.45,668.33,766.11,244.82
21-Apr,530.40,49.14,378.82,359.64,1145.32,1481.24,332.95,306.16,472.19,1097.61,1735.54,1539.67,784.04,1003.54,1499.99,176.43,199.20,1928.22,276.33,299.18,689.19,1059.10,312.37,1053.54,233.48,238.52,1044.44,1743.40,294.84,578.86,253.02,243.37,442.39,399.07,441.85,540.58,157.76,910.30,1091.20,277.26,672.70,770.58,252.80
21-May,541.53,49.99,439.22,407.23,1173.05,1513.43,337.83,310.81,470.16,1116.02,1755.26,1550.99,801.03,1026.76,1515.16,176.89,201.65,1944.80,301.88,318.70,703.36,1076.34,325.15,1083.71,248.86,256.28,1063.85,1769.93,307.53,593.36,265.66,256.13,445.23,397.80,441.49,544.09,172.63,927.54,1115.80,303.51,686.67,785.87,269.98
21-Jun,556.47,51.22,471.24,431.79,1220.33,1567.26,355.78,324.03,472.07,1140.68,1773.60,1566.60,809.24,1042.61,1540.76,180.07,207.68,1982.87,324.26,338.99,728.43,1106.05,356.44,1117.21,262.80,271.40,1087.71,1778.91,315.63,609.21,273.07,269.17,449.42,401.82,447.62,557.98,191.27,949.72,1151.08,335.46,712.95,803.90,287.54
21-Jul,577.55,52.73,485.44,444.21,1262.10,1660.76,361.11,335.67,477.08,1174.02,1837.44,1592.90,819.03,1080.13,1575.11,184.48,209.48,2049.66,329.20,347.70,768.81,1161.01,380.21,1201.57,275.82,280.63,1815.27,1144.76,322.08,635.31,296.05,277.73,462.35,411.97,456.00,552.80,199.86,1017.38,1327.44,414.83,739.32,830.60,308.72
21-Aug,585.64,53.20,496.03,457.98,1274.20,1698.18,366.69,342.78,477.39,1204.60,1868.95,1603.89,830.17,1109.63,1593.15,187.54,213.09,2091.34,323.01,341.81,812.70,1195.15,366.63,1249.86,270.79,275.28,1175.81,1833.68,302.88,668.71,290.96,270.70,468.77,409.97,460.33,546.71,195.87,1051.63,1375.61,396.38,769.45,869.64,305.48
21-Sep,604.99,54.62,492.13,461.59,1320.73,1768.14,384.73,351.95,473.75,1232.25,1879.83,1599.30,849.92,1125.99,1596.24,187.31,216.71,2109.81,301.58,322.44,844.42,1208.67,358.63,1280.77,264.59,266.98,1191.93,1844.74,298.94,709.50,284.90,256.22,463.04,410.01,454.28,546.77,192.07,1067.47,1426.42,342.25,812.94,911.88,306.87
21-Oct,614.89,55.49,478.76,464.74,1339.77,1768.78,382.77,359.60,475.54,1242.54,1892.34,1621.30,860.72,1144.01,1604.24,189.77,217.52,2128.91,292.57,321.57,852.32,1209.04,367.85,1284.86,266.23,267.45,1189.15,1851.16,306.07,727.21,287.89,261.59,465.64,415.03,463.38,553.23,192.14,1074.97,1424.58,347.47,825.46,912.72,313.05
21-Nov,629.82,57.35,490.19,476.76,1366.24,1812.03,404.20,366.46,480.65,1276.58,1946.38,1664.65,882.77,1179.82,1636.80,195.70,234.93,2164.76,302.28,329.21,890.15,1236.35,403.68,1318.90,272.42,273.90,1219.44,1898.13,340.99,775.11,284.47,260.72,469.53,421.02,476.67,568.75,202.25,1101.38,1451.35,349.60,876.47,950.60,327.53
21-Dec,635.16,57.82,494.83,480.79,1385.96,1846.39,407.97,372.06,480.23,1284.34,1973.64,1673.32,883.89,1197.57,1647.57,199.31,234.80,2256.81,299.51,330.47,923.68,1250.06,414.84,1322.24,275.14,274.39,1243.91,1927.89,346.96,795.57,285.62,261.15,476.44,424.62,477.03,571.62,214.44,1116.88,1463.60,357.03,896.39,967.46,328.75
22-Jan,644.33,58.28,498.85,481.47,1415.77,1864.70,418.65,383.51,486.70,1381.44,2055.60,1685.98,897.62,1209.62,1664.33,201.61,239.21,2275.78,307.53,336.33,941.10,1275.90,429.80,1381.84,280.66,280.44,1256.25,2305.65,368.10,805.45,288.51,262.51,480.53,430.21,477.33,579.16,217.78,1124.04,1450.73,367.01,920.76,974.87,331.24
22-Feb,654.90,59.82,509.65,497.54,1440.70,1919.52,438.03,400.83,496.57,1330.07,2050.31,1710.36,911.93,1222.77,1703.59,205.13,245.28,2351.31,313.27,339.72,971.01,1298.02,430.54,1372.65,287.60,289.70,1282.31,1983.75,378.26,825.51,292.54,268.52,492.81,436.58,487.43,594.80,227.23,1144.68,1498.81,393.08,950.46,1021.66,339.76
22-Mar,669.65,61.75,528.52,504.65,1504.46,1963.63,449.46,412.83,502.57,1341.71,2074.48,1728.21,922.11,1237.88,1710.87,208.73,250.17,2386.95,317.35,338.82,997.77,1322.77,440.97,1392.31,295.66,296.68,1307.40,2050.29,375.43,845.52,301.06,326.04,498.68,440.99,486.74,606.44,226.88,1167.25,1520.65,408.82,972.37,1042.82,354.89
22-Apr,678.91,64.00,530.62,519.05,1508.08,2026.85,450.51,412.25,513.50,1379.18,2117.29,1751.46,932.42,1250.07,1730.64,216.77,253.85,2380.81,318.74,335.19,1007.68,1337.70,448.38,1414.15,305.69,304.35,1305.07,2041.14,380.94,842.75,306.75,337.47,504.20,440.26,494.88,612.25,227.74,1176.90,1554.35,426.54,981.16,1047.74,361.20
22-May,676.92,102.47,526.90,513.89,1524.81,1971.66,445.62,407.04,544.89,1422.50,2286.28,1789.21,979.73,1285.16,1776.59,326.62,360.89,2350.48,366.65,342.15,1064.05,1380.35,479.72,1453.51,319.45,316.97,1237.54,1955.31,387.50,860.13,324.57,351.20,490.41,479.95,534.68,628.96,240.23,1215.34,1603.57,438.69,1014.74,1075.30,384.06
22-Jun,700.99,72.76,586.51,534.84,1551.90,2013.43,504.57,434.06,529.04,1430.75,2198.37,1802.76,989.65,1309.38,1752.98,237.32,269.23,2443.06,364.63,376.41,1089.35,1379.28,489.42,1480.38,328.84,325.17,1334.60,2073.76,406.40,886.81,334.00,309.24,532.49,474.51,543.12,665.07,251.01,1201.12,1613.63,468.92,1041.17,1092.92,402.31
22-Jul,702.48,69.17,547.75,532.97,1547.36,2063.08,473.47,435.39,521.73,1389.01,2117.90,1742.70,961.35,1273.91,1759.93,226.32,268.54,2423.34,314.66,336.66,1049.79,1383.42,473.31,1456.48,306.74,308.23,1292.74,2044.82,386.51,867.23,325.39,301.10,512.41,455.49,506.67,632.93,244.12,1162.97,1594.37,435.05,1014.17,1065.91,379.50
22-Aug,733.58,73.32,545.61,517.23,1610.31,2141.18,488.14,454.07,521.08,1436.69,2169.89,1797.25,997.84,1330.28,1816.81,240.07,283.42,2531.52,305.92,341.37,1087.64,1438.68,482.02,1506.99,299.42,306.96,1344.18,2113.21,435.38,896.63,334.92,311.82,535.36,454.10,520.18,654.26,248.55,1193.48,1648.75,430.93,1049.49,1106.76,403.63
22-Sep,752.37,75.07,556.81,543.15,1651.20,2199.37,511.74,477.58,538.98,1458.60,2190.57,1826.49,1020.03,1338.82,1853.58,251.65,295.29,2569.63,309.69,345.17,1113.33,1483.66,484.33,1538.17,302.00,305.22,1362.96,2158.12,397.18,927.34,345.90,323.38,552.46,471.42,532.42,668.53,255.24,1216.74,1671.45,445.12,1075.89,1121.28,409.23
22-Oct,775.14,77.64,564.69,547.39,1696.58,2266.24,523.16,482.47,538.19,1480.34,2193.55,1820.82,1029.95,1348.07,1836.31,265.87,314.29,2601.00,317.90,355.77,1159.34,1495.29,508.13,1537.04,304.55,307.62,1358.46,2161.14,405.72,968.76,357.20,333.79,561.55,487.47,547.11,689.32,264.14,1224.79,1659.22,454.46,1106.08,1144.47,409.86
22-Nov,801.39,80.95,578.55,557.67,1757.44,2337.46,529.07,492.01,549.67,1514.27,2280.91,1871.43,1050.73,1366.61,1884.64,273.78,327.26,2651.94,325.82,360.11,1199.39,1581.43,531.25,1570.68,317.86,317.70,1377.46,2205.07,425.71,1006.64,368.88,340.78,575.75,500.80,561.12,704.13,264.90,1238.93,1694.26,455.13,1142.99,1189.74,421.08
